start_time,execution_time,part_numbers,n_suppliers,LTL_zones,horizon,obj_value,obj_bound,obj_gap,trans_costs,order_cost,load_car_rent,load_car_invest,trans_costs_FTL,trans_costs_CES,trans_costs_LTL,share_suppl_FTL,share_suppl_CES,share_suppl_LTL
2023-07-30_11:04:07.771781,0.5208456516265869,3927,25,34,10,4678.582374548039,4678.582374547951,0.0,2966.502361563748,1550.0,56.01940517460483,1375.4206610563713,0.0,2355.4499999999994,611.0523615637485,0.0,56.00000000000001,44.0
2023-07-30_11:04:10.786806,0.42842626571655273,3927,25,34,10,5056.306044485245,5056.306044485187,0.0,3364.316035309208,1300.0,75.31402385330458,1336.5375271468556,0.0,2356.6799999999994,1007.6360353092086,0.0,16.0,84.0
2023-07-30_11:04:13.868058,0.4181811809539795,3927,25,34,10,4585.32774843815,4585.32774843815,0.0,2966.518862985033,1350.0,44.50796414941771,1095.0103228213109,-1.6964464177010613e-11,2354.219999999999,612.2988629850511,0.0,44.0,56.00000000000001
2023-07-30_11:04:17.061336,0.515411376953125,3927,25,34,10,4997.130987294738,4997.130987294738,0.0,3044.989493275718,1350.0,75.19080512938153,739.948171604339,-1.1616142667026316e-11,2355.4499999999994,689.5394932757301,0.0,40.0,60.0
2023-07-30_11:04:20.064261,0.424576997756958,3927,25,34,10,5169.122435194644,5169.122435194422,4.293121511722099e-14,3269.5796233031433,1450.0000004022988,45.03871279782266,1040.054086319103,0.0,2356.6799999999994,912.8996233031442,0.0,16.0,84.0
2023-07-30_11:04:25.223413,0.9671757221221924,3927,50,34,10,9980.197779371985,9980.197779371927,0.0,6058.412377137267,3200.0,62.764570204762066,1565.5958884385225,0.0,4709.669999999989,1348.742377137278,0.0,40.0,60.0
2023-07-30_11:04:30.386142,0.8723530769348145,3927,50,34,10,9946.56230037527,9946.562300375197,0.0,6159.964469466642,2550.000000000003,75.83320723982727,2320.3172196265946,0.0,4710.899999999989,1449.064469466653,0.0,40.0,60.0
2023-07-30_11:04:35.781029,1.1819405555725098,3927,50,34,10,9687.14939320801,9687.148501529788,9.20475349786947e-08,6099.337060960233,2850.0,94.72420101171997,2257.309722085685,0.0,4710.899999999989,1388.4370609602447,0.0,46.0,54.0
2023-07-30_11:04:40.770210,0.801318883895874,3927,50,34,10,10219.037903640412,10219.03790364023,1.7800006426220054e-14,5907.4922785646595,2950.0,69.58956176667446,2172.5857906057736,0.0,4711.309999999989,1196.182278564671,0.0,36.0,64.0
2023-07-30_11:04:45.984416,0.9317028522491455,3927,50,34,10,9851.548228668194,9851.548228668194,0.0,5736.119873508519,2650.0,115.16526337909758,1377.060075955371,1.4748506766570738e-11,4711.309999999989,1024.8098735085155,0.0,50.0,50.0
2023-07-30_11:04:54.423979,2.7047252655029297,3927,75,34,10,13944.97097772065,13944.97097772065,0.0,8618.661776098405,4300.0,178.37844902296433,3573.4060858926982,0.0,7063.890000000063,1554.7717760983423,0.0,54.666666666666664,45.33333333333333
2023-07-30_11:05:02.303796,1.6747963428497314,3927,75,34,10,14991.069528253796,14990.704702052462,2.4336235693279606e-05,9304.13903985533,4150.0,132.66236574132878,2188.9084612543643,0.0,7067.170000000062,2236.9690398552684,0.0,37.333333333333336,62.66666666666667
2023-07-30_11:05:10.993330,2.663464307785034,3927,75,34,10,14191.406479934547,14190.490252833302,6.45621068313508e-05,8815.754152621892,4350.0,117.89713689607305,4910.37181423875,0.0,7064.710000000063,1751.0441526218287,0.0,50.66666666666667,49.333333333333336
2023-07-30_11:05:20.048363,3.093698740005493,3927,75,34,10,14607.823998845117,14607.823998845117,0.0,8641.86345801495,4450.0,149.44664688372777,2426.0213560167695,0.0,7065.120000000062,1576.7434580148888,0.0,50.66666666666667,49.333333333333336
2023-07-30_11:05:28.062960,2.1860220432281494,3927,75,34,10,14807.628050287789,14807.628050287789,0.0,8964.42904551151,4250.0,188.27184403998524,2189.482479555062,1.6463243493573975e-11,7065.940000000061,1898.4890455114326,0.0,46.666666666666664,53.333333333333336
2023-07-30_11:05:38.384436,2.93800950050354,3927,100,34,10,19519.511217531748,19519.511217531748,0.0,12318.39182849607,5300.0,178.2740182123262,3908.944359813718,0.0,9421.800000000134,2896.5918284959357,0.0,42.0,57.99999999999999
2023-07-30_11:05:49.072445,3.2792837619781494,3927,100,34,10,19175.11563438878,19174.103554112586,5.2780921663945704e-05,11948.836177921914,5850.0,183.1822435017504,7261.639877314014,0.0,9420.980000000136,2527.8561779217775,0.0,42.0,57.99999999999999
2023-07-30_11:05:59.082056,2.5589828491210938,3927,100,34,10,19202.765418111092,19202.50712322211,1.3450921435485657e-05,12158.565997441183,5500.0,210.40334383884084,5870.849716674565,0.0,9422.620000000135,2735.9459974410483,0.0,37.0,63.0
2023-07-30_11:06:10.712184,4.117098808288574,3927,100,34,10,19367.641654543,19367.641654543,0.0,11730.699636068935,5900.0,184.64789599580345,2272.7689656380876,0.0,9420.160000000136,2310.539636068799,0.0,43.0,56.99999999999999
2023-07-30_11:06:20.606752,2.0770163536071777,3927,100,34,10,19369.08524478874,19369.023034587968,3.2118295720528227e-06,12511.532842740668,5200.0,246.64248802585968,2608.6210544647847,0.0,9422.620000000135,3088.912842740533,0.0,34.0,66.0
