start_time,execution_time,part_numbers,n_suppliers,LTL_zones,horizon,obj_value,obj_bound,obj_gap,trans_costs,order_cost,load_car_rent,load_car_invest,share_suppl_FTL,share_suppl_CES,share_suppl_LTL
2023-07-28_09:56:44.303916,0.3794088363647461,3927,25,34,10,6163.58025560514,6163.58025560514,0.0,3936.3105739075127,1650.0,28.599637110621092,548.6700445870044,0.0,28.000000000000004,92.0
2023-07-28_09:56:47.086935,0.37057948112487793,3927,25,34,10,4927.343519626025,4927.343519626021,0.0,3109.784927802332,1600.0,31.237523227686186,762.9168894146904,0.0,28.000000000000004,72.0
2023-07-28_09:56:50.425270,0.38823533058166504,3927,25,34,10,4646.739133584855,4646.739133584855,0.0,2955.745345371252,1350.0,20.77329292944261,699.4204813205727,0.0,44.0,56.00000000000001
2023-07-28_09:56:53.131469,0.2966601848602295,3927,25,34,10,5098.283264493537,5098.283264493537,0.0,3171.0864779329177,1550.0,35.419711289992,597.1150207591485,0.0,28.000000000000004,72.0
2023-07-28_09:56:55.890170,0.43485283851623535,3927,25,34,10,4571.28950279338,4571.28950279338,0.0,2882.907853495582,1400.0,32.31006176285926,601.7466050724998,0.0,56.00000000000001,44.0
2023-07-28_09:56:58.496660,0.25139355659484863,3927,50,34,10,4923.836912172431,4923.836912172431,0.0,3216.332104056206,1450.0,27.722292526851003,417.7833104903312,0.0,12.0,38.0
2023-07-28_09:57:03.163008,0.9570393562316895,3927,50,34,10,9930.423905016514,9930.423905016514,0.0,6033.87054484253,2700.0,113.33745898607756,1098.8220866230172,0.0,38.0,62.0
2023-07-28_09:57:07.490608,0.5510368347167969,3927,50,34,10,9758.920598898692,9758.920598898692,0.0,6256.687078873703,2850.0,92.16956836959442,1001.9517919318349,0.0,36.0,64.0
2023-07-28_09:57:11.870718,0.6755352020263672,3927,50,34,10,10316.467757338856,10316.103312894353,3.5326475405719884e-05,6243.260096743774,2950.0,116.61102080932196,3532.813616830823,0.0,34.0,66.0
2023-07-28_09:57:16.286113,0.6704163551330566,3927,50,34,10,10160.341067591913,10159.8657052989,4.678605667374652e-05,6373.538746440657,3000.0,128.1497057761768,2666.2903295211663,0.0,30.0,70.0
2023-07-28_09:57:21.328955,1.1091670989990234,3927,75,34,10,9107.002727174799,9107.00272717477,0.0,5363.6799553773,2850.0,149.78166574203254,1974.8355807128496,0.0,46.666666666666664,20.0
2023-07-28_09:57:27.800657,1.4182510375976562,3927,75,34,10,14906.003586224342,14906.003586224342,0.0,9309.567424431216,4400.0,125.6679420592606,1622.0940411965446,0.0,38.666666666666664,61.33333333333333
2023-07-28_09:57:34.308733,1.3883821964263916,3927,75,34,10,16114.442812059135,16114.442812059135,0.0,9406.706751300288,5150.0,146.40290142414477,3550.3469414845317,0.0,36.0,64.0
2023-07-28_09:57:40.545318,1.0866518020629883,3927,75,34,10,15216.84033617581,15216.475891731527,2.3950073486479467e-05,8993.043705675986,4650.0,108.74634304254667,5109.555031849395,0.0,44.0,56.00000000000001
2023-07-28_09:57:46.914740,1.1580774784088135,3927,75,34,10,15284.784958898868,15284.263519986183,3.411490014986354e-05,8878.920191854213,4350.0,184.83524816645146,5662.848838577792,0.0,41.333333333333336,58.666666666666664
2023-07-28_09:57:53.155999,1.1589758396148682,3927,100,34,10,14816.080946750872,14816.080946750872,0.0,9205.019221456503,4250.000000639316,152.33282266829843,2622.2213447344748,0.0,27.0,47.0
2023-07-28_09:58:01.461404,1.8672168254852295,3927,100,34,10,20566.42004291674,20566.42004291674,0.0,12425.088519427403,6400.0,223.66451484296408,2829.623553296758,0.0,39.0,61.0
2023-07-28_09:58:10.861813,2.86586594581604,3927,100,34,10,19696.542685525506,19696.48117630136,3.122843695365631e-06,11827.301542111656,5550.0,192.5918531076944,7404.5673952381185,0.0,50.0,50.0
2023-07-28_09:58:19.032512,1.4628279209136963,3927,100,34,10,20585.22183626763,20585.22183626763,0.0,12280.756595532188,5700.0,140.96085994092073,2807.177895132424,0.0,31.0,69.0
2023-07-28_09:58:28.583796,2.8051035404205322,3927,100,34,10,19506.536790349426,19506.536790349055,1.902305069892971e-14,12267.115228101244,5500.0,182.243780157638,4370.946009849888,0.0,43.0,56.99999999999999
