start_time,execution_time,part_numbers,n_suppliers,LTL_zones,horizon,obj_value,obj_bound,obj_gap,trans_costs,order_cost,load_car_rent,load_car_invest,share_suppl_FTL,share_suppl_CES,share_suppl_LTL
2023-07-27_18:26:41.807193,4.705665826797485,3927,50,20,20,14098.412431045052,14098.412431045052,0.0,10477.092253125853,3000.000000606907,276.0576486441265,4819.550861541957,0.0,57.99999999999999,42.0
2023-07-27_18:26:50.383892,2.333847999572754,3927,50,20,20,15732.562293607542,15732.562293607542,0.0,11376.85386464147,3400.0,146.3408323736939,1631.6861081408163,0.0,22.0,78.0
2023-07-27_18:27:00.093580,3.500110387802124,3927,50,20,20,14524.810699504844,14524.810699504844,0.0,10789.86410246523,2800.0,250.92553719897185,2018.9463263119512,0.0,42.0,57.99999999999999
2023-07-27_18:27:08.761826,2.462777614593506,3927,50,34,10,15148.523601296849,15148.523601296358,3.2420792407475036e-14,11195.999521562637,2850.0,203.8114773178567,1059.5203319786292,0.0,24.0,76.0
2023-07-27_18:27:13.872941,0.951350212097168,3927,50,34,10,9577.153362803849,9577.153362803849,0.0,6379.700827583376,2850.0,107.54131650319593,1632.6012770034363,0.0,36.0,64.0
2023-07-27_18:27:19.266267,1.483154296875,3927,50,34,10,9781.114405305856,9780.908384562601,2.1063115583568786e-05,5767.6929473665805,2950.0,76.75911316379381,1184.8088738903414,0.0,54.0,46.0
2023-07-27_18:27:24.414233,1.2541377544403076,3927,50,34,10,10404.669779628653,10404.669779628524,1.2412527296600581e-14,5940.292156582449,3250.0,103.57159388811097,4039.0092836526683,0.0,48.0,52.0
2023-07-27_18:27:29.284220,0.785083532333374,3927,50,34,10,10485.251943839063,10485.251943839063,0.0,6534.249477275282,3350.0,61.31534942774736,1464.0195661230975,0.0,24.0,76.0
2023-07-27_18:27:34.320771,1.096925973892212,3927,50,34,15,9858.344807628753,9858.344807628648,1.0701734161704182e-14,6370.334191593588,2800.0,102.83889471238564,3498.340283894935,0.0,28.000000000000004,72.0
2023-07-27_18:27:41.258872,1.5867514610290527,3927,50,34,15,13511.202511165344,13511.202312695037,1.4689314777844895e-08,8587.25272255885,3350.0,114.95274089548778,8184.203004383625,0.0,30.0,70.0
2023-07-27_18:27:47.919491,1.2902302742004395,3927,50,34,15,12425.574530067637,12425.101521267392,3.8067358503273176e-05,8687.578829707,2750.0,146.42432264756013,2818.458967604421,0.0,24.0,76.0
2023-07-27_18:27:55.458265,2.0602383613586426,3927,50,34,15,12550.808471599728,12550.808471599728,0.0,8634.00799138071,2800.0,116.28556923680995,2606.6906640613515,0.0,40.0,60.0
2023-07-27_18:28:02.332044,1.3312468528747559,3927,50,34,15,12523.155611717144,12523.155611717144,0.0,8688.795396687936,2849.99997542675,134.017591422513,1869.2811978066993,0.0,26.0,70.0
2023-07-27_18:28:09.345157,1.4362258911132812,3927,50,34,20,13211.780459422194,13211.780459422194,0.0,8698.486040760095,3250.0,201.4467250715828,4399.8297716956195,0.0,28.000000000000004,72.0
2023-07-27_18:28:19.754758,3.5312747955322266,3927,50,34,20,15463.193841847227,15462.524398503534,4.3292695580236135e-05,10778.15259353777,3350.0,194.70270375788567,1511.5230025324327,0.0,42.0,57.99999999999999
2023-07-27_18:28:30.588398,3.7919249534606934,3927,50,34,20,15457.374320527237,15457.374320527237,0.0,10765.659930125421,3550.0,171.47465353270061,1788.3357900860594,0.0,38.0,62.0
2023-07-27_18:28:40.056806,2.518925905227661,3927,50,34,20,14807.680088650357,14807.680088650357,0.0,10538.968243590285,2999.99999042553,218.22623007559878,1946.036795221522,0.0,42.0,57.99999999999999
2023-07-27_18:28:52.113518,5.063618183135986,3927,50,34,20,15095.09475015346,15095.09475015346,0.0,10530.893387498032,3450.0,91.90938328586131,4950.937184687889,0.0,50.0,50.0
2023-07-27_18:29:03.278667,4.219070672988892,3927,75,10,10,15087.436957937074,15086.70790106087,4.832211582631663e-05,10814.07179885227,3250.0,289.37825423983753,2905.313351750579,0.0,28.000000000000004,38.666666666666664
2023-07-27_18:29:09.042772,1.1724224090576172,3927,75,10,10,15168.480495682865,15167.674899482334,5.310988142551799e-05,9190.13789890999,4400.0,174.7575559294664,2503.547182701768,0.0,33.33333333333333,66.66666666666666
2023-07-27_18:29:16.522496,3.071995973587036,3927,75,10,10,15266.125944700005,15265.413826929462,4.66469209754079e-05,8795.800890867404,4750.0,168.73872652160955,3145.972667530368,0.0,49.333333333333336,50.66666666666667
2023-07-27_18:29:22.892684,1.8794457912445068,3927,75,10,10,14734.788920306493,14734.788920306493,0.0,9193.236379807244,4800.00000211191,137.8999891918608,6734.565136099636,0.0,42.66666666666667,56.00000000000001
2023-07-27_18:29:29.222810,1.9166796207427979,3927,75,10,10,14918.657471829807,14918.656342182245,7.572045704506624e-08,8938.78696030108,4000.0,123.865518705839,3626.257032797629,0.0,42.66666666666667,57.333333333333336
2023-07-27_18:29:37.698155,4.094949960708618,3927,75,10,15,14272.832429420443,14272.832429417143,2.311837397621691e-13,8895.717074477716,4300.0,189.66675332694996,2997.1021942133602,0.0,52.0,48.0
2023-07-27_18:29:48.655622,4.853439569473267,3927,75,10,15,19085.464044765467,19085.464044765467,0.0,12390.088212657574,4650.0,210.63211911807477,6287.5388407029495,0.0,50.66666666666667,49.333333333333336
2023-07-27_18:29:58.040970,3.2361114025115967,3927,75,10,15,19018.215422807774,19018.215422807774,0.0,12851.793902483305,4550.0,131.5597825531708,4172.159365235253,0.0,36.0,64.0
2023-07-27_18:30:07.287281,2.984541893005371,3927,75,10,15,18857.635356249226,18857.635356249226,0.0,12813.845712137661,4300.0,174.98253489670162,6708.258873708076,0.0,36.0,64.0
2023-07-27_18:30:15.653175,2.1183552742004395,3927,75,10,15,19947.14783013812,19946.175540898654,4.874327135624219e-05,13263.067889124784,4750.0,208.34310802686016,11341.23388054878,0.0,26.666666666666668,73.33333333333333
2023-07-27_18:30:25.476275,3.634284019470215,3927,75,10,20,18547.031636604144,18546.79165275331,1.2939205342260081e-05,12498.628553448249,4550.0,254.20605755357494,6161.811512741524,0.0,48.0,52.0
2023-07-27_18:30:47.828814,14.515708684921265,3927,75,10,20,21922.385642264846,21921.934941965483,2.0558907534876817e-05,15482.879772554521,4700.0,237.85848748238402,5203.260480472282,0.0,61.33333333333333,38.666666666666664
